#天的集合
set DAY:=1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30;
#区域的集合
set AREA:=1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27;
#天气的集合
set WEATHER:=1,2,3;
#资源的集合
set RES:=1,2;

#存在边集合
set Conn:=
1	2
1	25
2	3
3	4
3	25
4	5
4	24
4	25
5	6
5	24
6	7
6	24
6	23
7	8
7	22
8	9
8	22
9	10
9	15
9	16
9	17
9	21
9	22
10	11
10	13
10	15
11	13
11	12
12	13
12	14
13	14
13	15
14	15
14	16
15	16
16	17
16	18
17	18
17	21
18	19
18	20
19	20
20	21
21	22
21	23
21	27
22	23
23	24
23	26
24	25
24	26
25	26
26	27

2	1
25	1
3	2
4	3
25	3
5	4
24	4
25	4
6	5
24	5
7	6
24	6
23	6
8	7
22	7
9	8
22	8
10	9
15	9
16	9
17	9
21	9
22	9
11	10
13	10
15	10
13	11
12	11
13	12
14	12
14	13
15	13
15	14
16	14
16	15
17	16
18	16
18	17
21	17
19	18
20	18
20	19
21	20
22	21
23	21
27	21
23	22
24	23
26	23
25	24
26	24
26	25
27	26
;

#每天的天气（已知）
param WEA: 1 2 3 :=
1	0	1	0
2	0	1	0
3	1	0	0
4	0	0	1
5	1	0	0
6	0	1	0
7	0	0	1
8	1	0	0
9	0	1	0
10	0	1	0
11	0	0	1
12	0	1	0
13	1	0	0
14	0	1	0
15	0	1	0
16	0	1	0
17	0	0	1
18	0	0	1
19	0	1	0
20	0	0	1
21	1	0	0
22	1	0	0
23	0	1	0
24	1	0	0
25	0	0	1
26	0	1	0
27	1	0	0
28	1	0	0
29	0	1	0
30	0	1	0
;

#不同天气下的资源消耗量
param COST: 1 2 :=
1	5	7
2	8	6
3	10	10
;

#2种资源的价格
param: price, weight:=
1	5	3	
2	10	2
;
