param : M: V W:=
1  100  150
2  80   120
3  60    80
;
param : N: v w p u:=
1   24  21  32	18
2   15  20  86	0
3   17  13  14	0
4   17  23  61	0
5   10  16  80	0
6   16  27  28	0
7   29  26  85	22
8   19  23  50	0
9	11	28	19	0
10	13	29	76	0
11	19	19	48	0
12	10	23	77	0
13	12	19	61	0
14	21	24	59	16
15	17	21	45	0
16	12	20	56	0
17	17	21	45	0
18	18	19	48	0
19	17	23	64	0
20	14	28	55	0
21	18	19	54	0
22	14	20	63	0
23	10	23	59	0
24	12	24	61	0
25	14	21	53	0
26	18	19	61	0
27	20	25	49	14
28	16	23	68	0
29	15	25	52	0
30	20	21	54	0
;
